ids	count
0ccec598-a06a-47bd-b32b-330e106272b5_ENSG00000136492.10	32.0
0cde1aa1-daec-4a5d-b7c4-110b201381c2_ENSG00000136492.10	9.0
0ced4e3e-2b7e-4de3-a4bf-8abbb6edae71_ENSG00000136492.10	1372.0
0d2d5409-64e7-446e-a668-728771bfe998_ENSG00000136492.10	18.0
0d4b28f2-29cc-435b-8d81-8d04fcea2093_ENSG00000136492.10	7.0
0d4e4c89-38b6-4c30-ab10-827a654d6f23_ENSG00000136492.10	10.0
0d584303-5a92-4e57-a8e4-03f4b70e4ef9_ENSG00000108384.16	4.0
0d6f6abd-fffd-49e4-bf33-74a0be3f5645_ENSG00000136492.10	15.0
0d93a3ec-1a59-41c5-8543-9027b8b957e3_ENSG00000185379.21	34.0
0da0a08d-bedb-40f1-8b88-c1ecb99e1352_ENSG00000108384.16	6678.0
0daa2d0f-6d85-42a3-86c6-f8d19874051a_ENSG00000136492.10	112.0
0dcecbbe-a8ba-4a57-9133-fa304cd7cb6d_ENSG00000108384.16	13.0
0dd8f507-c580-4aac-9a74-f5612df27d21_ENSG00000108384.16	89.0
0de7770e-c042-4a16-b088-cc497a2a982c_ENSG00000136492.10	5.0
0de87d0c-4e53-42ab-ad25-47ccbb3c9fd6_ENSG00000108384.16	15.0
0deaed2a-ca29-4d51-98ee-0597696128b6_ENSG00000136492.10	19.0
0dee9205-150b-4ef4-a76c-aebe8d79d3c1_ENSG00000136492.10	31.0
0df8d70a-24a3-4dbb-8a2f-2a0236979ee1_ENSG00000108384.16	15.0
0e3755ec-3359-427a-953f-7146bc312ae8_ENSG00000136492.10	18.0
0e3bead5-a642-4aa3-b0d7-f0c3c0cdb4a1_ENSG00000136492.10	6.0
0e52fc7d-000c-4e98-9101-9de6c8034856_ENSG00000136492.10	7.0
0e7a9c1e-58dc-4e12-bfd0-e95e13592bb5_ENSG00000136492.10	6.0
0e9a291e-804a-4676-b97b-25b770050584_ENSG00000136492.10	756.0
0eb05f1a-6b31-4864-af98-6c387d1c5766_ENSG00000136492.10	32.0
0ec8da58-5243-4b1d-aecd-ca9a30081ee2_ENSG00000136492.10	44.0
0f0d60ae-1de8-45e7-a78a-8f9eff432605_ENSG00000136492.10	19.0
0f15d784-4d4a-40e6-9562-86c5b466d5f6_ENSG00000136492.10	15.0
0f1975a9-e677-4244-9a0e-6414d695ee45_ENSG00000108384.16	28.0
0f1ce6b3-6ab8-4ea2-9b1e-bdf0ddd915a2_ENSG00000136492.10	5.0
0f36a93f-20cd-4a51-9fbb-dd153f1d0822_ENSG00000108384.16	1.0
0f583402-2fd9-4c1a-8927-01f4401d3c15_ENSG00000136492.10	8.0
0f633836-6df0-4c1d-a9d4-bd045f04fdc8_ENSG00000136492.10	9.0
0f75b64e-ca28-4797-a139-20418b169da2_ENSG00000136492.10	8.0
0faa06ae-4b6a-4bb7-a2b5-9aa5c404d027_ENSG00000108384.16	332.0
0fc2ae14-6685-4a06-bd97-6af9eefaf416_ENSG00000136492.10	252.0
1007e5e6-58ce-4057-a9b6-4f4756d6014f_ENSG00000108384.16	484.0
10148662-a98e-46b6-a703-3fab4716e109_ENSG00000108384.16	53.0
101ade38-3cac-4430-8e91-c101f62376da_ENSG00000136492.10	99.0
1021e20b-d73b-4dbb-94d2-4ae5e1f08f0c_ENSG00000108384.16	125.0
102beb3d-92e4-47e2-a734-46f86a391aab_ENSG00000136492.10	8.0
10653d70-eeb3-4d5f-af80-1b28cdc0ec80_ENSG00000136492.10	6.0
10800f12-5068-4c81-962d-d478d121a60e_ENSG00000185379.21	164.0
10918bbb-95f1-420c-a137-99857ea3529b_ENSG00000136492.10	782.0
10921a7a-1872-4aec-88f3-67558b6b47c1_ENSG00000136492.10	32.0
10b2186a-9814-4912-975e-b2b9d375f0a4_ENSG00000136492.10	82.0
10beac0d-72aa-4906-938f-279566568e91_ENSG00000136492.10	6.0
10d31ef2-f1d2-4eb0-8966-12f3cad9f21a_ENSG00000136492.10	16.0
112bcb60-fb19-4df2-a78f-0cc1282f946a_ENSG00000136492.10	18.0
113c2e39-af3f-461c-86cd-40567e73ef9e_ENSG00000108384.16	62.0
113cf172-8ec2-4cfe-a344-50a06b3a8919_ENSG00000136492.10	4.0
11529b39-5d14-4ce3-90bf-cf968aae6d10_ENSG00000108384.16	4.0
116d5e25-3874-4010-96e4-9fcf35dfa2b7_ENSG00000136492.10	7.0
117dc92a-89ea-40e6-b4a5-17e867c08ee1_ENSG00000108384.16	44.0
11b90c47-90c7-447a-ba2c-b0e1f8e6e2e1_ENSG00000108384.16	40.0
11bd8202-a068-4cd1-9c75-81e22cd6055c_ENSG00000136492.10	14.0
11c7faaa-2996-4705-a291-a0bc11ed067a_ENSG00000136492.10	8.0
11de8c34-3cf5-4c8d-92a3-8acb4c86b6f7_ENSG00000136492.10	18.0
11f28c2d-4938-41ed-9399-da328460cc76_ENSG00000108384.16	14.0
11fe3195-a547-4913-8d93-a018a831d657_ENSG00000108384.16	9390.0
122c8225-39e1-426c-8f77-0162b5e937e8_ENSG00000108384.16	35.0
