ids	sample1_conditionA_batch1	sample2_conditionA_batch1	sample3_conditionA_batch1	sample4_conditionA_batch1	sample5_conditionA_batch1
69aa7a9a-aff5-46f6-8835-5ea565aebad2_ENSG00000183765.23	5.0	8.0	4.0	6.0	0.0
6e2e2c75-e141-4a83-9ad7-ecef78eb707d_ENSG00000183765.23	1.0	6.0	30.0	1.0	0.0
6eebbbe9-d0cf-4b87-b9ff-6179762d941b_ENSG00000183765.23	0.0	6.0	2.0	3.0	0.0
71b1b113-bf33-4a56-9509-ebc22ad126fd_ENSG00000183765.23	1.0	13.0	0.0	2.0	0.0
725e912b-a926-45c3-8e08-dd064b8f3cba_ENSG00000183765.23	0.0	5.0	1.0	0.0	0.0
73085d97-319a-4bea-9624-c9feb1900e33_ENSG00000183765.23	0.0	6.0	1.0	1.0	0.0
74e7580c-b3a2-4976-8abd-c436583be652_ENSG00000183765.23	0.0	6.0	2.0	2.0	0.0
74eafd27-c845-4de9-bcb3-0869a9e1376f_ENSG00000183765.23	0.0	6.0	4.0	1.0	0.0
76436282-a864-4003-821a-3137958f00fc_ENSG00000183765.23	1.0	4.0	1.0	2.0	0.0
7816239e-24d0-4bce-936a-8531308adc74_ENSG00000183765.23	4.0	19.0	3.0	0.0	0.0
79965ebc-5d91-4960-a24d-146c177f7b6a_ENSG00000183765.23	1.0	2.0	2.0	13.0	0.0
7b6eb9fc-0c49-408f-a870-feb098c602de_ENSG00000183765.23	1.0	1.0	2.0	2.0	0.0
7b78851f-f593-4913-9032-13682b71470c_ENSG00000183765.23	1.0	11.0	5.0	2.0	0.0
7c40e115-a1e3-4d0b-a558-115cdbb398a0_ENSG00000183765.23	762.0	3209.0	3.0	157.0	0.0
7fd1df68-6bb0-4642-ac05-46af32326917_ENSG00000183765.23	1.0	16.0	1934.0	2.0	0.0
80bb64b8-c8bf-4439-af8e-3b03336eb5b8_ENSG00000183765.23	1.0	3.0	3.0	1.0	0.0
813610fd-3ca0-4b0c-9d52-dc1904f59771_ENSG00000183765.23	1.0	4.0	1.0	0.0	0.0
823ebd92-5f5a-4e4b-8c49-b876ff0f1366_ENSG00000183765.23	0.0	3.0	2.0	0.0	0.0
8600ac85-4bcf-4cbf-917e-f07741e19fe3_ENSG00000183765.23	0.0	3.0	0.0	0.0	0.0
882beb0b-9950-41b5-a833-d7d5066a1bf9_ENSG00000183765.23	0.0	41.0	1.0	6.0	0.0
8845b87a-d5f1-4b2b-865b-1345637be69b_ENSG00000183765.23	0.0	4.0	1.0	3.0	0.0
8a449bdf-3306-45c7-8a68-478228d7f065_ENSG00000183765.23	0.0	2.0	2.0	1.0	0.0
8b53a5be-d341-4021-9428-9cab4b3bad1a_ENSG00000183765.23	5.0	6.0	1.0	2.0	0.0
8b835cc1-bf8f-4727-ae87-288ad3e25f37_ENSG00000183765.23	1.0	10.0	7.0	2.0	0.0
8cbb6bc9-e9a5-4c51-8bc0-90342835ec09_ENSG00000183765.23	465.0	142.0	2.0	50.0	0.0
8da34e63-4927-43d6-b004-9a63e799c401_ENSG00000183765.23	0.0	7.0	3.0	1.0	0.0
8da496f3-16b0-4d45-bdce-9c36489277e2_ENSG00000183765.23	0.0	7.0	1.0	0.0	0.0
